430,185.1428571,47424,11999.0711
456.6156584,186.3076923,83260165,3866587.912
13.43502884	94.5	19191351	11000000
0	9	42	0
0	97.5	30455	0
21.36195996	47.25	3929672	1460825.132
0	59.25	992	529.0012602
0	4.5	118	22.14347157
0	0	5553772	3176983.192
473.0523982	73.46666667	115381107	4974869.028
0	7.2	11174689	5585781.236
0	55.5	64094005	0
2.449489743	397.1428571	5714710	2324209.264
0	0	201	0
2.828427125	122.5	17769415	10100000
0	7.2	11470386	5732582.469
0	75.25	78555	45218.71263
0	122	148487	0
4413.201989	1454.125	114879	42945.58182
0	63.5	172	93.24340906
0	95	62331	0
0	0	104	0
0	75.25	49855	28778.60152
33.23401872	83	31078267	17886763.41
672.600661	177.2051282	115556918	4575948.548
0	7	10041000	4474657.902
84	73	5945003	1839979.228
0	0	2	0
0	4.5	107	20.50203242
0	7	10531962	4688757.479
279.4866723	116.2666667	139246	15114.26862
0	0	35	0
0	0	36	0
0	113	31135	0
0	28.75	183	103.9230485
582.6645786	260.1052632	15875695	2597163.512
5.30199124	834.3571429	95563318	25400000
0	0	70	0
0	89	31177	0
0	3.875	24897778	4736774.334
0	58.33333333	56016	15457.41823
0	0	55	0
45.254834	113.25	58545733	33684262.68
0	72.25	187	106.2324495
731.5646246	323.6666667	221560	30125.49375
631.0808048	251.2941176	381412	46103.64724
0	9	89	0
0	0	7336	0
0	4.5	98	27.42869544
0	0	54	0
0	88	205	113.1606528
3022.508098	1453.375	27101	8589.051575
0	6.857142857	1241828	489036.9993
0	69.75	25880	14936.62881
0	0	33	0
134.8077997	46.58064516	110078331	4872226.652
0	186.6666667	1189	706.3996744
0	65.5	179	63.31139971
0	86.5	75339	0
0	1.55	85786810	4962285.07
0	157.5	60836	0
0	72	85904	0
0	9	3	0
0	48	150	80.54191455
0	49.25	30951	17864.37203
2538.919278	1292.555556	92537	32292.75247
0	173	194758	112437.5216
829.6163571	268.4615385	5691001	1581627.179
1.8516402	3	21026223	4187556.206
15.55634919	107	81793883	47100000
0	85.25	180713	104331.2351
0	60	63021608	36300000
0	89	60378	0
0	34	4	0
0	6.857142857	4140693	1677194.673
0	10.33333333	223	156.2705986
0	6	221	79.97708005
674.5504182	271.8	5612502	1448783.292
0	89	133132	0
0	28.66666667	226	14.14213562
0	0	5904472	3380849.95
868.8437308	279.8863636	115743429	4416813.674
0	143.5	372417	0
0	102.5	31557	18173.55703
212.6226085	44.06666667	115703844	4882840.448
0	68.5	23623	13632.68324
0	103	30234	0
0	9	4	0
94.99245584	38.86363636	73045444	4720895.247
714.5877381	426.122807	115976260	3993680.406
848.6124361	311.3571429	5626175	1451863.948
261.5302916	50.43333333	115697612	4875466.088
96	39.73684211	60869508	4823111.605
0	9	4987	0
142.9993007	84.86666667	201286	21127.20109
2189.772933	1291.888889	572409	193052.2955
0	43	171	58.02585631
0	121.75	78967	45578.62846
532.0407575	521.6451613	83982527	8710530.537
0	0	5421448	3098485.237
0	9	3	0
0	101	23704	0
751.1550986	393.1333333	10330138	2665982.482
0	1995.733333	12993	906.8732185
2177.344966	1292.555556	1821095	643506.4394
0	65.75	232	94.47927462
0	7.5	8042841	4642657.428
569.9183195	232.65	682764	48094.78412
0	78.5	30565	0
0	109	201	73.97972695
419.7443666	173.125	634125	149424.8784
0	0	3	0
0	94.25	52	25.73583753
0	75	222	87.93179175
0	127	249	103.2860107
91.22200691	196	311732	52164.61017
0	66.25	166	90.64399226
0	7.5	1926947	1111672.173
0	60	67082242	38589663.02
0	77.5	203	115.4700538
432.9379492	256.25	538605	46016.16581
0	0	59	0
0	7.5	4867886	2809607.579
0	134.25	419	240.177712
0	73	102366	59097.57356
0	9	82	0
0	0	72	0
0	8	64	22.627417
0	76	72698	41967.87977
0	121.1666667	31959	13338.64197
0	58	181	98.43949072
0	37.83333333	5143143	2246690.857
0	9	5	0
106.8519225	122	106372020	43665150.98
651.3183274	380.8421053	2882934	446540.7356
0	69	83153	24099.88482
313.3839211	109.1724138	1468436	105927.8371
0	9	1391	0
618.1503371	236.9473684	184719	16559.89471
0	60	67028518	38649261.16
0	4.5	51	27.73084925
0	103.5	46656030	0
661.7178222	319.8461538	294231	32930.62761
0	16.33333333	1	0.707106781
0	0	145	0
1036.455209	587.9452055	115730487	3645423.295
687.4774672	387	8997332	2297873.934
0	71.75	158	86.02519011
0	146.5	31372	18105.70447
0	277	3	0
0	2	137978	97494.46878
0	96.5	199	30.022214
0	9	73	0
0	2	5821573	2075982.946
0	98	174467	100724.2393
0	110.5	168336	0
0	43	4	1.414213562
0	9	3	0
0	9	41	0
0	0	119	0
28.99670206	97.25714286	15237498	1248755.184
0	3	49	0
0	58.16666667	50420	15156.99642
3.535533906	106.75	41784	15660.1872
0	28.75	260	148.3790192
2207.341206	1453.375	154090	56651.26589
0	53	158	51.59780357
0	9	40	0
664.946865	389.2083333	117671781	12000000
